# 兵装仕様

## 共通表記

- 発射速度：1秒あたりの発射数
- 威力：パイロットステータス補正前の基礎ダメージ
- 最大飛翔時間：弾体が消滅または炸裂するまでの最大時間
- 誘導性能：比例航法による最大旋回速度
- 航法定数：比例航法定数 `N`
- シーカー角 `0deg`：角度制限なし
- ARH目標候補化閾値：終末誘導開始時に保存した目標の視線方向速度から許容する差
- 子弾：親弾の寿命終了時、または炸裂時に生成
- 表示威力：親弾単体の威力。子弾の威力は含めない
- 信管種別：なし／時限／近接／接触

---

## 7.7mmガンポッド

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | GunPod |
| 発射速度 | 6発/s |
| 重量 | 80 |
| 威力 | 4 |
| 初速 | 110m/s |
| 散布界 | 2.5deg |
| 最大飛翔時間 | 1.4s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | なし |
| 推力 | 0m/s² |
| 噴進時間 | 0s |
| 誘導方式 | N/A |
| 誘導性能 | 0deg/s |
| シーカー角 | 0deg |
| 信管種別 | なし |
| 信管半径 | 0m |
| 炸裂時間 | N/A |
| 爆発半径 | 0m |

---

## 12.7mmガンポッド

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | GunPod |
| 発射速度 | 12発/s |
| 重量 | 80 |
| 威力 | 5 |
| 初速 | 180m/s |
| 散布界 | 2.8deg |
| 最大飛翔時間 | 1.8s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | なし |
| 推力 | 0m/s² |
| 噴進時間 | 0s |
| 誘導方式 | N/A |
| 誘導性能 | 0deg/s |
| シーカー角 | 0deg |
| 信管種別 | なし |
| 信管半径 | 0m |
| 炸裂時間 | N/A |
| 爆発半径 | 0m |

---

## 32mmロケット

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Rocket |
| 発射速度 | 0.3発/s |
| 重量 | 80 |
| 威力 | 50 |
| 初速 | 15m/s |
| 散布界 | 0deg |
| 最大飛翔時間 | 5s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 2s |
| 誘導方式 | N/A |
| 誘導性能 | 0deg/s |
| 信管種別 | 時限 |
| 信管半径 | 0m |
| 炸裂時間 | 5s |
| 爆発半径 | 3m |

### 子弾

| 子弾 | 数量 |
|---|---:|
| 共通弾殻 | 15 |

---

## 共通弾殻

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Rocket（子弾専用） |
| 発射速度 | 0発/s |
| 重量 | 0 |
| 威力 | 5 |
| 初速 | 500m/s |
| 散布界 | 0deg |
| 最大飛翔時間 | 0.4s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | なし |
| 推力 | 0m/s² |
| 噴進時間 | 0s |
| 誘導方式 | N/A |
| 信管種別 | なし |
| 爆発半径 | 0m |

---

## 250(6*45mm)Fロケット

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Rocket |
| 発射速度 | 0.26発/s |
| 重量 | 220 |
| 威力 | 700 |
| 初速 | 8m/s |
| 散布界 | 0deg |
| 最大飛翔時間 | 5s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 65m/s² |
| 噴進時間 | 0.8s |
| 誘導方式 | N/A |
| 誘導性能 | 0deg/s |
| 信管種別 | 時限 |
| 信管半径 | 0m |
| 炸裂時間 | 5s |
| 爆発半径 | 18m |

### 子弾

| 子弾 | 数量 |
|---|---:|
| 45mmFロケット | 6 |
| 共通弾殻 | 50 |

---

## 45mmFロケット

